Sample,Cruise,Expt,Depth,Light,Treatment_2,Station,Cast,Longitude,Latitude,SigmaT,Salinity,Temp,Oxygen,NO2,NO3,NH4,Chl_SP,pPAR,Inc.PAR,NH3.Ox.12,Stdev_4,SE_4,NO2.Ox.12,Stdev_2,SE_2,NO3.Red.12,Stdev_3,SE_3,NO2.up,NO3.up,NH3.up,PNM_depth,PNM_max,Chl_max,Chl_depth,NitPNM,Nitracline_top
#,ID,ID,m,condition,ID,ID,#,deg W,deg N,kg/m3,PSU,deg C,umol/L,umol/L,umol/L,nmol/L,mg/m3,%,%,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,m,umol/L,mg/m3,m,umol/L,m
1,Ward,RM1,60,DK,Filtered,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.77,12.27,19.70,2.42,0.0051,0.0000,NA,3.39,2.40,NA,2.39,1.69,NA,3.22,2.27,NA,NA,NA,55.00,1.49,3.16,58.00,NA,NA
2,Ward,RM1,60,DK,Ambient,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.77,12.09,19.70,2.42,0.0051,0.0000,9.66,1.48,1.04,5.50,NA,NA,1.47,1.24,0.88,4.16,NA,NA,55.00,1.49,3.16,58.00,NA,NA
3,Ward,RM1,60,LL,Ambient,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.79,12.06,19.70,2.42,0.0051,0.0100,7.65,0.37,0.26,8.09,4.71,3.33,1.25,0.22,0.16,5.44,NA,NA,55.00,1.49,3.16,58.00,NA,NA
4,Ward,RM1,60,ML,Ambient,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.82,12.09,19.70,2.42,0.0051,0.0500,6.37,1.20,0.85,7.27,2.77,1.96,1.67,0.30,0.21,7.08,NA,NA,55.00,1.49,3.16,58.00,NA,NA
5,Ward,RM1,60,HL,Ambient,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.85,11.86,19.70,2.42,0.0051,0.2500,5.34,0.47,0.33,13.05,2.74,1.94,2.13,0.42,0.30,5.93,NA,NA,55.00,1.49,3.16,58.00,NA,NA
6,Ward,RM1,60,DK,20uM NO3,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.71,25.67,19.70,2.42,0.0051,0.0001,6.69,0.39,0.28,4.99,0.04,0.03,0.02,0.02,0.02,1.40,NA,NA,55.00,1.49,3.16,58.00,NA,NA
7,Ward,RM1,60,LL,20uM NO3,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.73,25.17,19.70,2.42,0.0051,0.0100,5.16,0.57,0.40,6.38,2.71,1.91,0.19,0.03,0.02,3.84,NA,NA,55.00,1.49,3.16,58.00,NA,NA
8,Ward,RM1,60,ML,20uM NO3,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.78,25.08,19.70,2.42,0.0051,0.0500,4.22,1.54,1.09,6.63,1.42,1.01,0.12,0.24,0.17,4.54,NA,NA,55.00,1.49,3.16,58.00,NA,NA
9,Ward,RM1,60,HL,20uM NO3,PS1,17,113.00,10.00,23.86,34.39,21.63,88.53,0.86,24.66,19.70,2.42,0.0051,0.2500,3.48,0.24,0.17,11.62,4.90,3.47,1.21,0.56,0.40,7.18,NA,NA,55.00,1.49,3.16,58.00,NA,NA
10,Ward,RM4,30,DK,Filtered,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,18.73,29.00,3.28,0.0138,0.0000,NA,1.28,0.91,NA,NA,NA,NA,3.25,2.30,NA,NA,NA,21.00,0.65,11.93,16.00,15.74,10.00
11,Ward,RM4,30,DK,Ambient,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,18.94,29.00,3.28,0.0138,0.0000,95.57,1.77,1.25,69.15,10.47,7.40,10.01,1.80,1.27,3.00,180.20,45.54,21.00,0.65,11.93,16.00,15.74,10.00
12,Ward,RM4,30,LL,Ambient,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,19.03,29.00,3.28,0.0138,0.0100,90.42,1.95,1.38,60.48,2.11,1.49,5.82,0.82,0.58,4.00,73.10,58.19,21.00,0.65,11.93,16.00,15.74,10.00
13,Ward,RM4,30,ML,Ambient,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,19.40,29.00,3.28,0.0138,0.0500,82.39,3.89,2.75,63.20,NA,NA,7.65,0.26,0.18,9.00,92.88,95.51,21.00,0.65,11.93,16.00,15.74,10.00
14,Ward,RM4,30,HL,Ambient,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,19.00,29.00,3.28,0.0138,0.2500,70.01,1.88,1.33,57.12,7.83,5.54,11.01,1.48,1.05,16.00,143.93,108.44,21.00,0.65,11.93,16.00,15.74,10.00
15,Ward,RM4,30,DK,20uM NO3,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,38.17,29.00,3.28,0.0138,0.0000,94.53,9.03,6.39,55.18,0.95,0.67,7.71,4.71,3.33,1.80,158.88,50.75,21.00,0.65,11.93,16.00,15.74,10.00
